site_id,price_cpl,reported_at,region,state,latitude,longitude,scraped_at
61401106,217.9,2025-12-02T16:00:29.987,North,QLD,-27.452584,153.041807,2025-12-03 02:13:22
61401117,219.9,2025-11-23T20:09:32.67,South,QLD,-27.483891,153.020309,2025-12-03 02:13:22
61401118,213.9,2025-12-02T01:07:00,South,QLD,-27.48469982543029,153.03976776686477,2025-12-03 02:13:22
61401119,209.9,2025-12-02T16:00:29.987,South,QLD,-27.479316,153.043606,2025-12-03 02:13:22
61401124,215.9,2025-12-01T01:05:11.473,South,QLD,-27.490753,153.040153,2025-12-03 02:13:22
61401126,219.9,2025-11-19T02:21:05.913,North,QLD,-27.467628,153.007504,2025-12-03 02:13:22
61401128,219.9,2025-11-24T23:20:48.62,North,QLD,-27.452187,153.062044,2025-12-03 02:13:22
61401131,219.9,2025-11-27T07:40:05.35,South,QLD,-27.472155835233433,153.05947272883606,2025-12-03 02:13:22
61401132,213.9,2025-12-01T20:39:37,South,QLD,-27.488386,153.047595,2025-12-03 02:13:22
61401134,219.9,2025-11-25T21:15:11.843,South,QLD,-27.491978,153.064833,2025-12-03 02:13:22
61401136,219.9,2025-11-24T00:02:13.927,South,QLD,-27.483909,153.063748,2025-12-03 02:13:22
61401137,194.9,2025-12-01T20:48:56.943,South,QLD,-27.479358,153.071094,2025-12-03 02:13:22
61401138,219.9,2025-11-23T01:05:45.313,South,QLD,-27.492781,153.082664,2025-12-03 02:13:22
61401140,219.9,2025-11-24T06:58:57.713,North,QLD,-27.46640548892771,153.07819476837022,2025-12-03 02:13:22
61401142,219.9,2025-11-24T14:01:00,North,QLD,-27.466503,153.079198,2025-12-03 02:13:22
61401147,219.9,2025-11-29T03:58:18,North,QLD,-27.469816,153.095634,2025-12-03 02:13:22
61401148,219.9,2025-11-22T05:45:53.013,South,QLD,-27.471389,153.095619,2025-12-03 02:13:22
61401149,219.9,2025-11-22T02:05:44.187,South,QLD,-27.474597374792506,153.12096549570083,2025-12-03 02:13:22
61401155,219.9,2025-11-25T21:10:10.107,South,QLD,-27.505555,153.099646,2025-12-03 02:13:22
61401156,199.9,2025-11-30T21:44:07.75,South,QLD,-27.488687,153.194782,2025-12-03 02:13:22
61401157,219.9,2025-12-02T16:00:00,South,QLD,-27.494931,153.212762,2025-12-03 02:13:22
61401159,219.9,2025-12-02T16:00:29.987,South,QLD,-27.487062,153.238493,2025-12-03 02:13:22
61401160,206.9,2025-11-28T21:52:48,South,QLD,-27.523907,153.258759,2025-12-03 02:13:22
61401167,219.9,2025-11-24T14:01:00,South,QLD,-27.507802,152.948185,2025-12-03 02:13:22
61401170,219.9,2025-11-22T02:00:53.227,South,QLD,-27.504769592318205,152.96077843320464,2025-12-03 02:13:22
61401172,219.9,2025-11-23T06:15:58.077,South,QLD,-27.491609,152.994039,2025-12-03 02:13:22
61401173,219.9,2025-12-02T10:47:19,South,QLD,-27.499530327092497,152.9754396405449,2025-12-03 02:13:22
61401177,219.9,2025-12-01T19:24:00,South,QLD,-27.521931,152.980164,2025-12-03 02:13:22
61401180,189.5,2025-12-01T23:50:06.793,South,QLD,-27.532831,152.983247,2025-12-03 02:13:22
61401183,179.9,2025-11-30T23:40:11.567,South,QLD,-27.512236,153.032024,2025-12-03 02:13:22
61401185,217.9,2025-12-02T11:53:00,South,QLD,-27.508609,153.025429,2025-12-03 02:13:22
61401188,218.9,2025-12-02T03:22:00,South,QLD,-27.519285,153.015135,2025-12-03 02:13:22
61401189,219.9,2025-12-01T19:24:00,South,QLD,-27.524123,153.023568,2025-12-03 02:13:22
61401195,219.9,2025-12-02T16:00:00,South,QLD,-27.539627,153.022022,2025-12-03 02:13:22
61401197,161.5,2025-11-24T14:01:00,South,QLD,-27.538641,153.005432,2025-12-03 02:13:22
